titulo,genero,subgenero,diretor,descricao
Matrix,Ficção Científica,Cyberpunk,Wachowski,"Um hacker descobre a verdade sobre sua realidade e luta contra máquinas." 
Matrix Reloaded,Ficção Científica,Cyberpunk,Wachowski,"Neo e seus aliados enfrentam novos desafios no mundo virtual."
Senhor dos Anéis,Fantasia,Fantasia Épica,Peter Jackson,"Um hobbit embarca em uma jornada para destruir um anel maligno."
O Hobbit,Fantasia,Fantasia Épica,Peter Jackson,"A aventura de Bilbo Bolseiro antes da guerra do anel."
Vingadores,Ação,Super-herói,Joss Whedon,"Heróis convocados pela agência S.H.I.E.L.D. precisam impedir que o deus asgardiano Loki e uma invasão alienígena escravizem a Terra."
Homem de Ferro,Ação,Super-herói,Jon Favreau,"Tony Stark cria uma armadura de alta tecnologia para combater o crime."
Capitão América,Ação,Super-herói,Joe Johnston,"Um soldado se torna símbolo de esperança na Segunda Guerra Mundial."
Interestelar,Ficção Científica,Ficção Científica Espacial,Christopher Nolan,"Exploradores viajam pelo espaço em busca de um novo lar para a humanidade."
Batman Begins,Ação,Super-herói,Christopher Nolan,"Bruce Wayne inicia sua jornada como Batman para combater o crime."
Toy Story,Animação,Aventura Familiar,John Lasseter,"Brinquedos ganham vida quando os humanos não estão olhando."
O Iluminado,Terror,Terror Psicológico,Stanley Kubrick,"Um ex-professor aceita cuidar de um hotel isolado no inverno e enlouquece devido às forças sobrenaturais do local."
Shrek,Animação,Comédia Satírica,Andrew Adamson,"Um ogro rabugento que, após ter seu pântano invadido por criaturas mágicas, faz um acordo com um lorde tirânico para resgatar uma princesa em troca da sua paz e solidão."
Meninas Malvadas,Comédia,Comédia Adolescente,Mark Waters,"Uma garota criada na África que entra na escola pública americana e tenta sobreviver à cruel hierarquia social liderada pelas "Poderosas"."
Avatar,Ficção Científica,Ficção Científica Espacial,James Cameron,"Um ex-fuzileiro participa de uma missão em um planeta alienígena e acaba se envolvendo com os habitantes locais."
Titanic,Drama,Romance,James Cameron,"Um romance nasce a bordo do navio Titanic durante sua viagem inaugural."
Gladiador,Ação,Vingança,Ridley Scott,"Um general romano busca vingança após ser traído e perder sua família."
Piratas do Caribe,Aventura,Fantasia Marítima,Gore Verbinski,"Um ferreiro se une a um pirata excêntrico para resgatar uma jovem sequestrada."
Harry Potter e a Pedra Filosofal,Fantasia,Fantasia Mágica,Chris Columbus,"Um garoto descobre que é bruxo e inicia seus estudos em uma escola de magia."
Harry Potter e a Câmara Secreta,Fantasia,Fantasia Mágica,Chris Columbus,"Harry retorna a Hogwarts e enfrenta um mistério envolvendo uma câmara escondida."
Jurassic Park,Ficção Científica,Aventura,Steven Spielberg,"Cientistas recriam dinossauros em um parque temático que sai do controle."
O Rei Leão,Animação,Drama Familiar,Roger Allers,"Um jovem leão precisa aceitar seu destino como rei após uma tragédia familiar."
Procurando Nemo,Animação,Aventura Familiar,Andrew Stanton,"Um peixe-palhaço atravessa o oceano para encontrar seu filho desaparecido."
Frozen,Animação,Musical,Chris Buck,"Duas irmãs enfrentam desafios envolvendo poderes mágicos e laços familiares."
Corra!,Terror,Suspense Psicológico,Jordan Peele,"Um jovem visita a família de sua namorada e descobre segredos perturbadores."
Invocação do Mal,Terror,Terror Sobrenatural,James Wan,"Investigadores paranormais ajudam uma família aterrorizada por uma presença maligna."
As Branquelas,Comédia,Pastelão,Keenen Ivory Wayans,"Dois agentes do FBI se disfarçam para proteger herdeiras ameaçadas."
Clube da Luta,Drama,Drama Psicológico,David Fincher,"Um homem insatisfeito cria um clube secreto que se transforma em algo muito maior."
Forrest Gump,Drama,Drama Histórico,Robert Zemeckis,"A história de um homem simples que participa de momentos marcantes da história americana."
À Espera de um Milagre,Drama,Drama Fantástico,Frank Darabont,"Um guarda de prisão conhece um detento com habilidades extraordinárias."
O Poderoso Chefão,Crime,Máfia,Francis Ford Coppola,"A trajetória de uma poderosa família da máfia italiana."
Os Infiltrados,Crime,Crime Policial,Martin Scorsese,"Policiais e criminosos se infiltram em organizações rivais."
Pulp Fiction,Crime,Crime Antológico,Quentin Tarantino,"Histórias interligadas do submundo do crime em Los Angeles."
Seven,Suspense,Serial Killer,David Fincher,"Dois detetives investigam uma série de assassinatos inspirados nos sete pecados capitais."
A Origem,Ficção Científica,Psicológica,Christopher Nolan,"Especialistas invadem sonhos para roubar e implantar ideias."
Duna,Ficção Científica,Space Opera,Denis Villeneuve,"Um jovem herdeiro enfrenta conflitos políticos e religiosos em um planeta desértico."
Mad Max: Estrada da Fúria,Ação,Pós-Apocalíptico,George Miller,"Guerreiros sobrevivem em um mundo pós-apocalíptico."
John Wick,Ação,Vingança,Chad Stahelski,"Um assassino aposentado busca vingança após uma tragédia pessoal."
Deadpool,Ação,Comédia de Humor Ácido,Tim Miller,"Um mercenário adquire habilidades especiais e busca vingança com humor irreverente."
Pantera Negra,Ação,Super-herói,Ryan Coogler,"O rei de Wakanda precisa proteger sua nação e seu legado."
Divertida Mente,Animação,Aventura Familiar,Pete Docter,"As emoções de uma garota trabalham juntas para guiá-la em sua vida."
Up: Altas Aventuras,Animação,Aventura Familiar,Pete Docter,"Um idoso realiza o sonho de viajar em uma casa sustentada por balões."
A Viagem de Chihiro,Animação,Fantasia Mitológica,Hayao Miyazaki,"Uma garota entra em um mundo mágico habitado por espíritos."
Star Wars: Uma Nova Esperança,Ficção Científica,Space Opera,George Lucas,"Um jovem fazendeiro se junta à rebelião para enfrentar um império galáctico."
Star Wars: O Império Contra-Ataca,Ficção Científica,Space Opera,Irvin Kershner,"A rebelião sofre derrotas enquanto um jovem Jedi continua seu treinamento."
